"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"13.01","storage","Ethanol (E95) Tank #201 – Vertical Fixed Roof Tank","38000","gallons","","",""
"13.01, 14.01","storage","Ethanol (E95) Tank #201 - Vertical Fixed Roof Tank and Ethanol (E95) Tank #202 - Vertical Fixed Roof Tank","38000","gallons","","",""
"14.01","storage","Ethanol (E95) Tank #202 – Vertical Fixed Roof Tank","38000","gallons","","",""
"3.01","storage","Tank #130 - Vertical Fixed Roof Tank","41330","gallons","","",""
"6.01","storage","Tank 1430 - Internal Floating Roof Tank","2398450","gallons","","",""
"7.01","storage","Tank 6026 - Internal Floating Roof Tank","744910","gallons","","",""
"8.01","storage","Tank 6027 - Internal Floating Roof Tank","786400","gallons","","",""
"9.01","other","Fugitive Equipment Leaks","","","","",""
"EU-1","boilers","Truck Loading Rack","","","61200612","gallons/yr",""
