Commodity_Desc,Attribute_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Soft red winter","Export estimates","1,000 bushels","2014/15","Q4 Mar-May",33788.0347114105
"Hard red winter","Export estimates","1,000 bushels","2014/15","Q4 Mar-May",74790.585239811
"Hard red winter","Export estimates","1,000 bushels","2014/15","Sep",30658.3228652009
"All wheat","Export estimates","1,000 bushels","2014/15","Sep",99789.8181728523
"Durum","Export estimates","1,000 bushels","2014/15","Sep",2728.92779783069
"White","Export estimates","1,000 bushels","2014/15","Sep",18245.2019133408
"Soft red winter","Export estimates","1,000 bushels","2014/15","Sep",13813.0443703624
"Hard red spring","Export estimates","1,000 bushels","2014/15","Sep",34344.3212261175
"Hard red winter","Export estimates","1,000 bushels","2015/16","Apr",19770.8026388738
"Soft red winter","Export estimates","1,000 bushels","2015/16","Apr",7318.53336659456
"All wheat","Export estimates","1,000 bushels","2015/16","Apr",67357.6908365672
"Durum","Export estimates","1,000 bushels","2015/16","Apr",1962.05101866034
"White","Export estimates","1,000 bushels","2015/16","Apr",13552.4409548392
"Hard red spring","Export estimates","1,000 bushels","2015/16","Apr",24753.8628575992
"All wheat","Export estimates","1,000 bushels","2015/16","Aug",81325.8087297393
"White","Export estimates","1,000 bushels","2015/16","Aug",13457.5764240824
"Hard red winter","Export estimates","1,000 bushels","2015/16","Aug",25200.0093543533
"Durum","Export estimates","1,000 bushels","2015/16","Aug",3968.20858568966
"Hard red spring","Export estimates","1,000 bushels","2015/16","Aug",21471.4365417194
"Soft red winter","Export estimates","1,000 bushels","2015/16","Aug",17228.5778238946
"Hard red winter","Export estimates","1,000 bushels","2015/16","Dec",20019.7243751098
"Hard red spring","Export estimates","1,000 bushels","2015/16","Dec",18944.2202934025
"Soft red winter","Export estimates","1,000 bushels","2015/16","Dec",8452.77251393524
"White","Export estimates","1,000 bushels","2015/16","Dec",14236.2484445225
"Durum","Export estimates","1,000 bushels","2015/16","Dec",3530.46688087873
"All wheat","Export estimates","1,000 bushels","2015/16","Dec",65183.4325078488
"Hard red winter","Export estimates","1,000 bushels","2015/16","Feb",17691.147543985
"Hard red spring","Export estimates","1,000 bushels","2015/16","Feb",16740.739784261
"Soft red winter","Export estimates","1,000 bushels","2015/16","Feb",7469.59562968257
"All wheat","Export estimates","1,000 bushels","2015/16","Feb",55955.0122702422
"White","Export estimates","1,000 bushels","2015/16","Feb",12580.3715868338
"Durum","Export estimates","1,000 bushels","2015/16","Feb",1473.15772547977
"All wheat","Export estimates","1,000 bushels","2015/16","Jan",54014.1039606481
"White","Export estimates","1,000 bushels","2015/16","Jan",12316.6595809515
"Hard red winter","Export estimates","1,000 bushels","2015/16","Jan",17320.302535713
"Soft red winter","Export estimates","1,000 bushels","2015/16","Jan",7313.01662618993
"Durum","Export estimates","1,000 bushels","2015/16","Jan",674.307823860432
"Hard red spring","Export estimates","1,000 bushels","2015/16","Jan",16389.8173939333
"Soft red winter","Export estimates","1,000 bushels","2015/16","Jul",13144.2080593062
"Hard red winter","Export estimates","1,000 bushels","2015/16","Jul",19225.8565643583
"Hard red spring","Export estimates","1,000 bushels","2015/16","Jul",16381.2145216726
"Durum","Export estimates","1,000 bushels","2015/16","Jul",3071.3924822669
"All wheat","Export estimates","1,000 bushels","2015/16","Jul",62089.8675796009
"White","Export estimates","1,000 bushels","2015/16","Jul",10267.1959519969
"Soft red winter","Export estimates","1,000 bushels","2015/16","Jun",13060.8917691808
"Hard red winter","Export estimates","1,000 bushels","2015/16","Jun",19103.9909459659
"Hard red spring","Export estimates","1,000 bushels","2015/16","Jun",16277.3800406955
"Durum","Export estimates","1,000 bushels","2015/16","Jun",2691.32637753454
"All wheat","Export estimates","1,000 bushels","2015/16","Jun",61335.7051145719
"White","Export estimates","1,000 bushels","2015/16","Jun",10202.1159811952
"White","Export estimates","1,000 bushels","2015/16","Mar",14585.0188710627
"Hard red winter","Export estimates","1,000 bushels","2015/16","Mar",21277.1655338639
"Soft red winter","Export estimates","1,000 bushels","2015/16","Mar",7876.1418416045
"Durum","Export estimates","1,000 bushels","2015/16","Mar",1989.06325618608
"Hard red spring","Export estimates","1,000 bushels","2015/16","Mar",26639.891523074
"All wheat","Export estimates","1,000 bushels","2015/16","Mar",72367.2810257912
"All wheat","Export estimates","1,000 bushels","2015/16","May",65736.1661626946
"White","Export estimates","1,000 bushels","2015/16","May",13405.3745954333
"Hard red winter","Export estimates","1,000 bushels","2015/16","May",19556.2567886966
"Soft red winter","Export estimates","1,000 bushels","2015/16","May",7239.11519668683
"Durum","Export estimates","1,000 bushels","2015/16","May",1050.1770048489
"Hard red spring","Export estimates","1,000 bushels","2015/16","May",24485.242577029
"Durum","Export estimates","1,000 bushels","2015/16","MY Jun-May",29365.5141001025
"All wheat","Export estimates","1,000 bushels","2015/16","MY Jun-May",777792.798858551
"White","Export estimates","1,000 bushels","2015/16","MY Jun-May",147278.23935054
"Hard red winter","Export estimates","1,000 bushels","2015/16","MY Jun-May",227196.33943544
"Hard red spring","Export estimates","1,000 bushels","2015/16","MY Jun-May",253720.71427225
"Soft red winter","Export estimates","1,000 bushels","2015/16","MY Jun-May",120231.99170022
"All wheat","Export estimates","1,000 bushels","2015/16","Nov",53094.9682201144
"Hard red winter","Export estimates","1,000 bushels","2015/16","Nov",13093.3672731498
"Hard red spring","Export estimates","1,000 bushels","2015/16","Nov",19528.3615281698
"Soft red winter","Export estimates","1,000 bushels","2015/16","Nov",8485.86418198669
"White","Export estimates","1,000 bushels","2015/16","Nov",8907.33354634483
"Durum","Export estimates","1,000 bushels","2015/16","Nov",3080.04169046323
"Hard red winter","Export estimates","1,000 bushels","2015/16","Oct",11730.6903304119
"Hard red spring","Export estimates","1,000 bushels","2015/16","Oct",17495.9700563093
"Soft red winter","Export estimates","1,000 bushels","2015/16","Oct",7602.70775486103
"All wheat","Export estimates","1,000 bushels","2015/16","Oct",46983.8848689852
"White","Export estimates","1,000 bushels","2015/16","Oct",7980.31318621402
"Durum","Export estimates","1,000 bushels","2015/16","Oct",2174.20354118898
"All wheat","Export estimates","1,000 bushels","2015/16","Q1 Jun-Aug",204751.381423912
"Hard red winter","Export estimates","1,000 bushels","2015/16","Q1 Jun-Aug",63529.8568646775
"Hard red spring","Export estimates","1,000 bushels","2015/16","Q1 Jun-Aug",54130.0311040875
"Soft red winter","Export estimates","1,000 bushels","2015/16","Q1 Jun-Aug",43433.6776523816
"White","Export estimates","1,000 bushels","2015/16","Q1 Jun-Aug",33926.8883572745
"Durum","Export estimates","1,000 bushels","2015/16","Q1 Jun-Aug",9730.92744549111
"All wheat","Export estimates","1,000 bushels","2015/16","Q2 Sep-Nov",192427.730670847
"White","Export estimates","1,000 bushels","2015/16","Q2 Sep-Nov",32675.2369596223
"Soft red winter","Export estimates","1,000 bushels","2015/16","Q2 Sep-Nov",31129.1388731444
"Hard red winter","Export estimates","1,000 bushels","2015/16","Q2 Sep-Nov",48031.08315452
"Hard red spring","Export estimates","1,000 bushels","2015/16","Q2 Sep-Nov",71636.9087388633
"Durum","Export estimates","1,000 bushels","2015/16","Q2 Sep-Nov",8955.36294469719
"All wheat","Export estimates","1,000 bushels","2015/16","Q3 Dec-Feb",175152.548738739
"Durum","Export estimates","1,000 bushels","2015/16","Q3 Dec-Feb",5677.93243021893
"White","Export estimates","1,000 bushels","2015/16","Q3 Dec-Feb",39133.2796123078
"Hard red spring","Export estimates","1,000 bushels","2015/16","Q3 Dec-Feb",52074.7774715967
"Soft red winter","Export estimates","1,000 bushels","2015/16","Q3 Dec-Feb",23235.3847698077
"Hard red winter","Export estimates","1,000 bushels","2015/16","Q3 Dec-Feb",55031.1744548078
"All wheat","Export estimates","1,000 bushels","2015/16","Q4 Mar-May",205461.138025053
"White","Export estimates","1,000 bushels","2015/16","Q4 Mar-May",41542.8344213352
"Hard red winter","Export estimates","1,000 bushels","2015/16","Q4 Mar-May",60604.2249614344
"Soft red winter","Export estimates","1,000 bushels","2015/16","Q4 Mar-May",22433.7904048859
"Durum","Export estimates","1,000 bushels","2015/16","Q4 Mar-May",5001.29127969532
"Hard red spring","Export estimates","1,000 bushels","2015/16","Q4 Mar-May",75878.9969577022
"Hard red winter","Export estimates","1,000 bushels","2015/16","Sep",23207.0255509583
"All wheat","Export estimates","1,000 bushels","2015/16","Sep",92348.8775817476
"Hard red spring","Export estimates","1,000 bushels","2015/16","Sep",34612.5771543842
"Soft red winter","Export estimates","1,000 bushels","2015/16","Sep",15040.5669362967
"White","Export estimates","1,000 bushels","2015/16","Sep",15787.5902270634
"Durum","Export estimates","1,000 bushels","2015/16","Sep",3701.11771304498
"Hard red winter","Export estimates","1,000 bushels","2016/17","Apr",43655.4658789729
"Soft red winter","Export estimates","1,000 bushels","2016/17","Apr",8516.83939164202
"All wheat","Export estimates","1,000 bushels","2016/17","Apr",100078.233578593
"White","Export estimates","1,000 bushels","2016/17","Apr",15960.3980899001
"Durum","Export estimates","1,000 bushels","2016/17","Apr",1031.62623516431
"Hard red spring","Export estimates","1,000 bushels","2016/17","Apr",30913.9039829141
"White","Export estimates","1,000 bushels","2016/17","Aug",15109.4308272454
"All wheat","Export estimates","1,000 bushels","2016/17","Aug",105537.199380524
"Hard red winter","Export estimates","1,000 bushels","2016/17","Aug",44186.4786869585
"Soft red winter","Export estimates","1,000 bushels","2016/17","Aug",8738.79592076067
"Hard red spring","Export estimates","1,000 bushels","2016/17","Aug",33405.4042298305
"Durum","Export estimates","1,000 bushels","2016/17","Aug",4097.08971572844
"Hard red winter","Export estimates","1,000 bushels","2016/17","Dec",32859.0606926511
"All wheat","Export estimates","1,000 bushels","2016/17","Dec",81986.2513617535
"Durum","Export estimates","1,000 bushels","2016/17","Dec",4208.74021074765
"White","Export estimates","1,000 bushels","2016/17","Dec",12021.6075704821
"Soft red winter","Export estimates","1,000 bushels","2016/17","Dec",7785.42204564556
"Hard red spring","Export estimates","1,000 bushels","2016/17","Dec",25111.4208422271
"Soft red winter","Export estimates","1,000 bushels","2016/17","Feb",8230.51165761675
"Hard red winter","Export estimates","1,000 bushels","2016/17","Feb",34737.6006725884
"Durum","Export estimates","1,000 bushels","2016/17","Feb",2333.79612899769
"Hard red spring","Export estimates","1,000 bushels","2016/17","Feb",26547.0312038983
"White","Export estimates","1,000 bushels","2016/17","Feb",12708.8782948494
"All wheat","Export estimates","1,000 bushels","2016/17","Feb",84557.8179579505
"Durum","Export estimates","1,000 bushels","2016/17","Jan",544.261404072088
"Hard red spring","Export estimates","1,000 bushels","2016/17","Jan",20033.2631145637
"Soft red winter","Export estimates","1,000 bushels","2016/17","Jan",6211.0148716105
"Hard red winter","Export estimates","1,000 bushels","2016/17","Jan",26214.1362963561
"White","Export estimates","1,000 bushels","2016/17","Jan",9590.53766939857
"All wheat","Export estimates","1,000 bushels","2016/17","Jan",62593.213356001
"Soft red winter","Export estimates","1,000 bushels","2016/17","Jul",6557.83455981628
"Hard red spring","Export estimates","1,000 bushels","2016/17","Jul",25068.3408022586
"Durum","Export estimates","1,000 bushels","2016/17","Jul",1070.50758877424
"Hard red winter","Export estimates","1,000 bushels","2016/17","Jul",33158.7577553475
"White","Export estimates","1,000 bushels","2016/17","Jul",11338.5354866415
"All wheat","Export estimates","1,000 bushels","2016/17","Jul",77193.9761928381
"Soft red winter","Export estimates","1,000 bushels","2016/17","Jun",7268.58194347174
"Hard red winter","Export estimates","1,000 bushels","2016/17","Jun",36752.5508138505
"White","Export estimates","1,000 bushels","2016/17","Jun",12567.4219975939
"All wheat","Export estimates","1,000 bushels","2016/17","Jun",85191.0699703227
"Hard red spring","Export estimates","1,000 bushels","2016/17","Jun",27785.2830299515
"Durum","Export estimates","1,000 bushels","2016/17","Jun",817.232185455185
"White","Export estimates","1,000 bushels","2016/17","Mar",15605.5703406223
"Soft red winter","Export estimates","1,000 bushels","2016/17","Mar",8327.4950572918
"All wheat","Export estimates","1,000 bushels","2016/17","Mar",99991.0398359021
"Hard red spring","Export estimates","1,000 bushels","2016/17","Mar",30226.6334706211
"Durum","Export estimates","1,000 bushels","2016/17","Mar",3146.41295432053
"Hard red winter","Export estimates","1,000 bushels","2016/17","Mar",42684.9280130464
"White","Export estimates","1,000 bushels","2016/17","May",17819.7611621686
"All wheat","Export estimates","1,000 bushels","2016/17","May",114411.723969875
"Durum","Export estimates","1,000 bushels","2016/17","May",3826.33149774653
"Hard red spring","Export estimates","1,000 bushels","2016/17","May",34515.3286567674
"Soft red winter","Export estimates","1,000 bushels","2016/17","May",9509.03874456934
"Hard red winter","Export estimates","1,000 bushels","2016/17","May",48741.2639086228
"White","Export estimates","1,000 bushels","2016/17","MY Jun-May",162788.434870713
"All wheat","Export estimates","1,000 bushels","2016/17","MY Jun-May",1050878.75807054
"Durum","Export estimates","1,000 bushels","2016/17","MY Jun-May",24626.3119297711
"Hard red winter","Export estimates","1,000 bushels","2016/17","MY Jun-May",452912.164374991
"Soft red winter","Export estimates","1,000 bushels","2016/17","MY Jun-May",91180.2542332902
"Hard red spring","Export estimates","1,000 bushels","2016/17","MY Jun-May",319371.592661772
"All wheat","Export estimates","1,000 bushels","2016/17","Nov",67680.3223788796
"White","Export estimates","1,000 bushels","2016/17","Nov",11254.2531402034
"Durum","Export estimates","1,000 bushels","2016/17","Nov",1449.66577361256
"Hard red spring","Export estimates","1,000 bushels","2016/17","Nov",18472.7786562673
"Soft red winter","Export estimates","1,000 bushels","2016/17","Nov",5627.56850260546
"Hard red winter","Export estimates","1,000 bushels","2016/17","Nov",30876.0563061908
"Soft red winter","Export estimates","1,000 bushels","2016/17","Oct",5497.16179328266
"Hard red spring","Export estimates","1,000 bushels","2016/17","Oct",18044.7120275809
"Hard red winter","Export estimates","1,000 bushels","2016/17","Oct",30160.5705865782
"All wheat","Export estimates","1,000 bushels","2016/17","Oct",65745.9802941449
"White","Export estimates","1,000 bushels","2016/17","Oct",10993.4602032147
"Durum","Export estimates","1,000 bushels","2016/17","Oct",1050.07568348841
"All wheat","Export estimates","1,000 bushels","2016/17","Q1 Jun-Aug",267922.245543684
"Soft red winter","Export estimates","1,000 bushels","2016/17","Q1 Jun-Aug",22565.2124240487
"Hard red spring","Export estimates","1,000 bushels","2016/17","Q1 Jun-Aug",86259.0280620406
"Hard red winter","Export estimates","1,000 bushels","2016/17","Q1 Jun-Aug",114097.787256156
"White","Export estimates","1,000 bushels","2016/17","Q1 Jun-Aug",39015.3883114808
"Durum","Export estimates","1,000 bushels","2016/17","Q1 Jun-Aug",5984.82948995786
"All wheat","Export estimates","1,000 bushels","2016/17","Q2 Sep-Nov",239338.232466778
"White","Export estimates","1,000 bushels","2016/17","Q2 Sep-Nov",40066.293431811
"Soft red winter","Export estimates","1,000 bushels","2016/17","Q2 Sep-Nov",20034.7200408655
"Hard red winter","Export estimates","1,000 bushels","2016/17","Q2 Sep-Nov",109921.921656597
"Hard red spring","Export estimates","1,000 bushels","2016/17","Q2 Sep-Nov",65764.9833287402
"Durum","Export estimates","1,000 bushels","2016/17","Q2 Sep-Nov",3550.31400876443
"All wheat","Export estimates","1,000 bushels","2016/17","Q3 Dec-Feb",229137.282675705
"Soft red winter","Export estimates","1,000 bushels","2016/17","Q3 Dec-Feb",22226.9485748728
"Hard red spring","Export estimates","1,000 bushels","2016/17","Q3 Dec-Feb",71691.715160689
"White","Export estimates","1,000 bushels","2016/17","Q3 Dec-Feb",34321.0235347301
"Durum","Export estimates","1,000 bushels","2016/17","Q3 Dec-Feb",7086.79774381743
"Hard red winter","Export estimates","1,000 bushels","2016/17","Q3 Dec-Feb",93810.7976615956
"White","Export estimates","1,000 bushels","2016/17","Q4 Mar-May",49385.729592691
"All wheat","Export estimates","1,000 bushels","2016/17","Q4 Mar-May",314480.99738437
"Durum","Export estimates","1,000 bushels","2016/17","Q4 Mar-May",8004.37068723137
"Hard red spring","Export estimates","1,000 bushels","2016/17","Q4 Mar-May",95655.8661103026
"Soft red winter","Export estimates","1,000 bushels","2016/17","Q4 Mar-May",26353.3731935032
"Hard red winter","Export estimates","1,000 bushels","2016/17","Q4 Mar-May",135081.657800642
"All wheat","Export estimates","1,000 bushels","2016/17","Sep",105911.929793754
"Durum","Export estimates","1,000 bushels","2016/17","Sep",1050.57255166345
"White","Export estimates","1,000 bushels","2016/17","Sep",17818.5800883928
"Soft red winter","Export estimates","1,000 bushels","2016/17","Sep",8909.98974497738
"Hard red spring","Export estimates","1,000 bushels","2016/17","Sep",29247.492644892
"Hard red winter","Export estimates","1,000 bushels","2016/17","Sep",48885.2947638283
"Hard red winter","Export estimates","1,000 bushels","2017/18","Apr",27354.4654007096
"Soft red winter","Export estimates","1,000 bushels","2017/18","Apr",10031.7840150616
"All wheat","Export estimates","1,000 bushels","2017/18","Apr",73519.3193720399
"Durum","Export estimates","1,000 bushels","2017/18","Apr",2566.46831362585
"White","Export estimates","1,000 bushels","2017/18","Apr",14545.913201486
"Hard red spring","Export estimates","1,000 bushels","2017/18","Apr",19020.6884411569
"All wheat","Export estimates","1,000 bushels","2017/18","Aug",91479.578255839
"White","Export estimates","1,000 bushels","2017/18","Aug",21028.8782976508
"Hard red winter","Export estimates","1,000 bushels","2017/18","Aug",37315.2385445466
"Durum","Export estimates","1,000 bushels","2017/18","Aug",1558.80902073234
"Hard red spring","Export estimates","1,000 bushels","2017/18","Aug",23715.5754728581
"Soft red winter","Export estimates","1,000 bushels","2017/18","Aug",7861.07692005116
"Hard red winter","Export estimates","1,000 bushels","2017/18","Dec",32736.6659791827
"Hard red spring","Export estimates","1,000 bushels","2017/18","Dec",17589.8337953779
"Soft red winter","Export estimates","1,000 bushels","2017/18","Dec",6518.00384497454
"White","Export estimates","1,000 bushels","2017/18","Dec",17183.2223402456
"Durum","Export estimates","1,000 bushels","2017/18","Dec",568.386878451905
"All wheat","Export estimates","1,000 bushels","2017/18","Dec",74596.1128382326
"Hard red winter","Export estimates","1,000 bushels","2017/18","Feb",26102.3022879185
"Soft red winter","Export estimates","1,000 bushels","2017/18","Feb",5197.07494903511
"All wheat","Export estimates","1,000 bushels","2017/18","Feb",59778.1673730243
"White","Export estimates","1,000 bushels","2017/18","Feb",13700.8962394283
"Hard red spring","Export estimates","1,000 bushels","2017/18","Feb",14025.1044261246
"Durum","Export estimates","1,000 bushels","2017/18","Feb",752.789470517817
"White","Export estimates","1,000 bushels","2017/18","Jan",15065.7943892394
"All wheat","Export estimates","1,000 bushels","2017/18","Jan",66437.2138002814
"Hard red winter","Export estimates","1,000 bushels","2017/18","Jan",28702.6419646808
"Soft red winter","Export estimates","1,000 bushels","2017/18","Jan",5714.81319465103
"Hard red spring","Export estimates","1,000 bushels","2017/18","Jan",15422.3005472831
"Durum","Export estimates","1,000 bushels","2017/18","Jan",1531.66370442713
"Soft red winter","Export estimates","1,000 bushels","2017/18","Jul",7704.43096925971
"Hard red winter","Export estimates","1,000 bushels","2017/18","Jul",36571.6659933214
"Durum","Export estimates","1,000 bushels","2017/18","Jul",1194.98948693922
"Hard red spring","Export estimates","1,000 bushels","2017/18","Jul",23243.0004165021
"All wheat","Export estimates","1,000 bushels","2017/18","Jul",89323.9273310054
"White","Export estimates","1,000 bushels","2017/18","Jul",20609.840464983
"Hard red winter","Export estimates","1,000 bushels","2017/18","Jun",45324.6888361013
"Soft red winter","Export estimates","1,000 bushels","2017/18","Jun",9548.40111480534
"Durum","Export estimates","1,000 bushels","2017/18","Jun",2341.99365104563
"Hard red spring","Export estimates","1,000 bushels","2017/18","Jun",28805.9549074881
"All wheat","Export estimates","1,000 bushels","2017/18","Jun",111563.615820729
"White","Export estimates","1,000 bushels","2017/18","Jun",25542.5773112888
"White","Export estimates","1,000 bushels","2017/18","Mar",15398.1314414099
"All wheat","Export estimates","1,000 bushels","2017/18","Mar",78115.1371554287
"Soft red winter","Export estimates","1,000 bushels","2017/18","Mar",10619.5277474894
"Hard red winter","Export estimates","1,000 bushels","2017/18","Mar",28957.1131021596
"Durum","Export estimates","1,000 bushels","2017/18","Mar",3005.28935098649
"Hard red spring","Export estimates","1,000 bushels","2017/18","Mar",20135.0755133833
"All wheat","Export estimates","1,000 bushels","2017/18","May",67927.021711083
"White","Export estimates","1,000 bushels","2017/18","May",13812.2691210047
"Hard red winter","Export estimates","1,000 bushels","2017/18","May",25974.8035439409
"Soft red winter","Export estimates","1,000 bushels","2017/18","May",9525.81654107966
"Hard red spring","Export estimates","1,000 bushels","2017/18","May",18061.3526271561
"Durum","Export estimates","1,000 bushels","2017/18","May",552.779877901622
"Durum","Export estimates","1,000 bushels","2017/18","MY Jun-May",17654.6300156917
"All wheat","Export estimates","1,000 bushels","2017/18","MY Jun-May",906021.737647692
"White","Export estimates","1,000 bushels","2017/18","MY Jun-May",194506.294663748
"Hard red winter","Export estimates","1,000 bushels","2017/18","MY Jun-May",373469.409168344
"Hard red spring","Export estimates","1,000 bushels","2017/18","MY Jun-May",229289.121136395
"Soft red winter","Export estimates","1,000 bushels","2017/18","MY Jun-May",91102.2826635128
"White","Export estimates","1,000 bushels","2017/18","Nov",10937.384878495
"All wheat","Export estimates","1,000 bushels","2017/18","Nov",55767.4273267164
"Hard red winter","Export estimates","1,000 bushels","2017/18","Nov",24547.3583913244
"Soft red winter","Export estimates","1,000 bushels","2017/18","Nov",5344.24507870212
"Hard red spring","Export estimates","1,000 bushels","2017/18","Nov",14324.9632172363
"Durum","Export estimates","1,000 bushels","2017/18","Nov",613.475760958596
"Hard red winter","Export estimates","1,000 bushels","2017/18","Oct",21353.6235322395
"Hard red spring","Export estimates","1,000 bushels","2017/18","Oct",12461.2134135846
"Soft red winter","Export estimates","1,000 bushels","2017/18","Oct",4648.93189953021
"Durum","Export estimates","1,000 bushels","2017/18","Oct",1527.90820727409
"White","Export estimates","1,000 bushels","2017/18","Oct",9514.376064397
"All wheat","Export estimates","1,000 bushels","2017/18","Oct",49506.0531170255
"All wheat","Export estimates","1,000 bushels","2017/18","Q1 Jun-Aug",292367.121407574
"Hard red winter","Export estimates","1,000 bushels","2017/18","Q1 Jun-Aug",119211.593373969
"Hard red spring","Export estimates","1,000 bushels","2017/18","Q1 Jun-Aug",75764.5307968483
"Soft red winter","Export estimates","1,000 bushels","2017/18","Q1 Jun-Aug",25113.9090041162
"Durum","Export estimates","1,000 bushels","2017/18","Q1 Jun-Aug",5095.79215871719
"White","Export estimates","1,000 bushels","2017/18","Q1 Jun-Aug",67181.2960739225
"All wheat","Export estimates","1,000 bushels","2017/18","Q2 Sep-Nov",193281.643990028
"White","Export estimates","1,000 bushels","2017/18","Q2 Sep-Nov",37618.7718570114
"Soft red winter","Export estimates","1,000 bushels","2017/18","Q2 Sep-Nov",18381.3533671053
"Hard red winter","Export estimates","1,000 bushels","2017/18","Q2 Sep-Nov",84429.823515783
"Durum","Export estimates","1,000 bushels","2017/18","Q2 Sep-Nov",3581.46026106372
"Hard red spring","Export estimates","1,000 bushels","2017/18","Q2 Sep-Nov",49270.2349890646
"All wheat","Export estimates","1,000 bushels","2017/18","Q3 Dec-Feb",200811.494011538
"Durum","Export estimates","1,000 bushels","2017/18","Q3 Dec-Feb",2852.84005339685
"White","Export estimates","1,000 bushels","2017/18","Q3 Dec-Feb",45949.9129689134
"Hard red spring","Export estimates","1,000 bushels","2017/18","Q3 Dec-Feb",47037.2387687855
"Soft red winter","Export estimates","1,000 bushels","2017/18","Q3 Dec-Feb",17429.8919886607
"Hard red winter","Export estimates","1,000 bushels","2017/18","Q3 Dec-Feb",87541.6102317819
"All wheat","Export estimates","1,000 bushels","2017/18","Q4 Mar-May",219561.478238552
"White","Export estimates","1,000 bushels","2017/18","Q4 Mar-May",43756.3137639006
"Hard red winter","Export estimates","1,000 bushels","2017/18","Q4 Mar-May",82286.38204681
"Soft red winter","Export estimates","1,000 bushels","2017/18","Q4 Mar-May",30177.1283036306
"Hard red spring","Export estimates","1,000 bushels","2017/18","Q4 Mar-May",57217.1165816963
"Durum","Export estimates","1,000 bushels","2017/18","Q4 Mar-May",6124.53754251396
"All wheat","Export estimates","1,000 bushels","2017/18","Sep",88008.1635462862
"Durum","Export estimates","1,000 bushels","2017/18","Sep",1440.07629283104
"Hard red winter","Export estimates","1,000 bushels","2017/18","Sep",38528.8415922191
"Hard red spring","Export estimates","1,000 bushels","2017/18","Sep",22484.0583582437
"Soft red winter","Export estimates","1,000 bushels","2017/18","Sep",8388.17638887297
"White","Export estimates","1,000 bushels","2017/18","Sep",17167.0109141194
"Hard red winter","Export estimates","1,000 bushels","2018/19","Apr",44096.718274825
"Soft red winter","Export estimates","1,000 bushels","2018/19","Apr",16003.6274966542
"All wheat","Export estimates","1,000 bushels","2018/19","Apr",102840.303804165
"White","Export estimates","1,000 bushels","2018/19","Apr",16947.0521869659
"Durum","Export estimates","1,000 bushels","2018/19","Apr",1997.63865674637
"Hard red spring","Export estimates","1,000 bushels","2018/19","Apr",23795.267188973
"White","Export estimates","1,000 bushels","2018/19","Aug",22287.4812633301
"All wheat","Export estimates","1,000 bushels","2018/19","Aug",78549.1249804112
"Hard red winter","Export estimates","1,000 bushels","2018/19","Aug",19898.4333355301
"Hard red spring","Export estimates","1,000 bushels","2018/19","Aug",23029.0377851511
"Soft red winter","Export estimates","1,000 bushels","2018/19","Aug",10422.5769141941
"Durum","Export estimates","1,000 bushels","2018/19","Aug",2911.59568220582
"Hard red winter","Export estimates","1,000 bushels","2018/19","Dec",30944.316997045
"All wheat","Export estimates","1,000 bushels","2018/19","Dec",85782.0526835378
"Durum","Export estimates","1,000 bushels","2018/19","Dec",1884.30857512731
"White","Export estimates","1,000 bushels","2018/19","Dec",16435.5181507331
"Soft red winter","Export estimates","1,000 bushels","2018/19","Dec",12049.6803977844
"Hard red spring","Export estimates","1,000 bushels","2018/19","Dec",24468.228562848
"Soft red winter","Export estimates","1,000 bushels","2018/19","Feb",11868.9685975093
"Hard red winter","Export estimates","1,000 bushels","2018/19","Feb",30480.2380299507
"Durum","Export estimates","1,000 bushels","2018/19","Feb",1492.18577792877
"Hard red spring","Export estimates","1,000 bushels","2018/19","Feb",24101.2729684118
"White","Export estimates","1,000 bushels","2018/19","Feb",16189.0309431538
"All wheat","Export estimates","1,000 bushels","2018/19","Feb",84131.6963169543
"Hard red spring","Export estimates","1,000 bushels","2018/19","Jan",21422.7159856265
"Durum","Export estimates","1,000 bushels","2018/19","Jan",539.129573521047
"Soft red winter","Export estimates","1,000 bushels","2018/19","Jan",10549.8802341276
"Hard red winter","Export estimates","1,000 bushels","2018/19","Jan",27092.7383522745
"All wheat","Export estimates","1,000 bushels","2018/19","Jan",73994.2854812216
"White","Export estimates","1,000 bushels","2018/19","Jan",14389.8213356719
"Hard red spring","Export estimates","1,000 bushels","2018/19","Jul",19703.6018712172
"Durum","Export estimates","1,000 bushels","2018/19","Jul",2245.57941200068
"Hard red winter","Export estimates","1,000 bushels","2018/19","Jul",17025.0625302741
"Soft red winter","Export estimates","1,000 bushels","2018/19","Jul",8917.53741104355
"All wheat","Export estimates","1,000 bushels","2018/19","Jul",66960.9087157425
"White","Export estimates","1,000 bushels","2018/19","Jul",19069.127491207
"Hard red winter","Export estimates","1,000 bushels","2018/19","Jun",15390.8570262915
"Soft red winter","Export estimates","1,000 bushels","2018/19","Jun",8061.558838678
"All wheat","Export estimates","1,000 bushels","2018/19","Jun",59111.2312252818
"White","Export estimates","1,000 bushels","2018/19","Jun",17238.715823299
"Hard red spring","Export estimates","1,000 bushels","2018/19","Jun",17812.2881348378
"Durum","Export estimates","1,000 bushels","2018/19","Jun",607.811402175507
"All wheat","Export estimates","1,000 bushels","2018/19","Mar",76714.6147825354
"White","Export estimates","1,000 bushels","2018/19","Mar",12549.6067255975
"Soft red winter","Export estimates","1,000 bushels","2018/19","Mar",11850.9832300177
