Commodity_Desc,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Total wheat grain","Exports, Qty","French Polynesia","1,000 metric tons ","1988/89","MY Jun-May",0.304432
"Total wheat grain","Exports, Qty","Tunisia","1,000 metric tons ","1988/89","MY Jun-May",54.853202
"Total wheat grain","Exports, Qty","Sudan","1,000 metric tons ","1988/89","MY Jun-May",14
"Total wheat grain","Exports, Qty","Cameroon","1,000 metric tons ","1988/89","MY Jun-May",1.942497
"Total wheat grain","Exports, Qty","Sierra Leone","1,000 metric tons ","1988/89","MY Jun-May",5.764214
"Total wheat grain","Exports, Qty","Togo","1,000 metric tons ","1988/89","MY Jun-May",17.754401
"Total wheat grain","Exports, Qty","Gabon","1,000 metric tons ","1988/89","MY Jun-May",1.500069
"Total wheat grain","Exports, Qty","Benin","1,000 metric tons ","1988/89","MY Jun-May",11.347504
"Total wheat grain","Exports, Qty","Congo (Kinshasa)","1,000 metric tons ","1988/89","MY Jun-May",33.892225
"Total wheat grain","Exports, Qty","Somalia","1,000 metric tons ","1988/89","MY Jun-May",12.000715
"Total wheat grain","Exports, Qty","Zambia","1,000 metric tons ","1988/89","MY Jun-May",18.660695
"Total wheat grain","Exports, Qty","Malawi","1,000 metric tons ","1988/89","MY Jun-May",20
"Total wheat grain","Exports, Qty","Unidentified Country","1,000 metric tons ","1988/89","MY Jun-May",368.850642
"Total wheat grain","Exports, Qty","World","1,000 metric tons ","1988/89","MY Jun-May",16120.224221
"Total wheat grain","Exports, Qty","Mexico","1,000 metric tons ","1989/90","MY Jun-May",237.050885
"Total wheat grain","Exports, Qty","Philippines","1,000 metric tons ","1989/90","MY Jun-May",778.151211
"Total wheat grain","Exports, Qty","South Korea","1,000 metric tons ","1989/90","MY Jun-May",1483.091203
"Total wheat grain","Exports, Qty","Japan","1,000 metric tons ","1989/90","MY Jun-May",2926.084836
"Total wheat grain","Exports, Qty","Taiwan","1,000 metric tons ","1989/90","MY Jun-May",667.438367
"Total wheat grain","Exports, Qty","Thailand","1,000 metric tons ","1989/90","MY Jun-May",124.159891
"Total wheat grain","Exports, Qty","Indonesia","1,000 metric tons ","1989/90","MY Jun-May",190.970041
"Total wheat grain","Exports, Qty","Colombia","1,000 metric tons ","1989/90","MY Jun-May",435.768878
"Total wheat grain","Exports, Qty","Ecuador","1,000 metric tons ","1989/90","MY Jun-May",307.343601
"Total wheat grain","Exports, Qty","Dominican Republic","1,000 metric tons ","1989/90","MY Jun-May",219.192992
"Total wheat grain","Exports, Qty","Italy","1,000 metric tons ","1989/90","MY Jun-May",523.109243
"Total wheat grain","Exports, Qty","Venezuela","1,000 metric tons ","1989/90","MY Jun-May",671.967213
"Total wheat grain","Exports, Qty","Guatemala","1,000 metric tons ","1989/90","MY Jun-May",160.061103
"Total wheat grain","Exports, Qty","Honduras","1,000 metric tons ","1989/90","MY Jun-May",105.437247
"Total wheat grain","Exports, Qty","Brazil","1,000 metric tons ","1989/90","MY Jun-May",133.166811
"Total wheat grain","Exports, Qty","Yemen (Sana), Ends 9/1990 & United Begin","1,000 metric tons ","1989/90","MY Jun-May",49.499766
"Total wheat grain","Exports, Qty","Peru","1,000 metric tons ","1989/90","MY Jun-May",196.302044
"Total wheat grain","Exports, Qty","Haiti","1,000 metric tons ","1989/90","MY Jun-May",114.776838
"Total wheat grain","Exports, Qty","Jamaica","1,000 metric tons ","1989/90","MY Jun-May",151.692776
"Total wheat grain","Exports, Qty","China","1,000 metric tons ","1989/90","MY Jun-May",5514.839681
"Total wheat grain","Exports, Qty","El Salvador","1,000 metric tons ","1989/90","MY Jun-May",152.746687
"Total wheat grain","Exports, Qty","Panama","1,000 metric tons ","1989/90","MY Jun-May",75.813738
"Total wheat grain","Exports, Qty","Malaysia","1,000 metric tons ","1989/90","MY Jun-May",45.191471
"Total wheat grain","Exports, Qty","Egypt","1,000 metric tons ","1989/90","MY Jun-May",2772.790372
"Total wheat grain","Exports, Qty","Trinidad And Tobago","1,000 metric tons ","1989/90","MY Jun-May",87.387264
"Total wheat grain","Exports, Qty","Algeria","1,000 metric tons ","1989/90","MY Jun-May",1068.147972
"Total wheat grain","Exports, Qty","Costa Rica","1,000 metric tons ","1989/90","MY Jun-May",154.641821
"Total wheat grain","Exports, Qty","Canada","1,000 metric tons ","1989/90","MY Jun-May",1.036714
"Total wheat grain","Exports, Qty","Spain","1,000 metric tons ","1989/90","MY Jun-May",18.089501
"Total wheat grain","Exports, Qty","Kenya","1,000 metric tons ","1989/90","MY Jun-May",18.25016
"Total wheat grain","Exports, Qty","Guyana","1,000 metric tons ","1989/90","MY Jun-May",50.868884
"Total wheat grain","Exports, Qty","Singapore","1,000 metric tons ","1989/90","MY Jun-May",39.465087
"Total wheat grain","Exports, Qty","Mozambique","1,000 metric tons ","1989/90","MY Jun-May",14.999955
"Total wheat grain","Exports, Qty","Sri Lanka","1,000 metric tons ","1989/90","MY Jun-May",648.972952
"Total wheat grain","Exports, Qty","Morocco","1,000 metric tons ","1989/90","MY Jun-May",490.603795
"Total wheat grain","Exports, Qty","Mauritania","1,000 metric tons ","1989/90","MY Jun-May",19.999446
"Total wheat grain","Exports, Qty","St. Vincent And The Grenadines","1,000 metric tons ","1989/90","MY Jun-May",26.724817
"Total wheat grain","Exports, Qty","Grenada","1,000 metric tons ","1989/90","MY Jun-May",7.508963
"Total wheat grain","Exports, Qty","Barbados","1,000 metric tons ","1989/90","MY Jun-May",15.663366
"Total wheat grain","Exports, Qty","Portugal","1,000 metric tons ","1989/90","MY Jun-May",124.029418
"Total wheat grain","Exports, Qty","Republic Of South Africa","1,000 metric tons ","1989/90","MY Jun-May",0.692652
"Total wheat grain","Exports, Qty","Belize","1,000 metric tons ","1989/90","MY Jun-May",13.016815
"Total wheat grain","Exports, Qty","Belgium","1,000 metric tons ","1989/90","MY Jun-May",184.749824
"Total wheat grain","Exports, Qty","Suriname","1,000 metric tons ","1989/90","MY Jun-May",24.3765
"Total wheat grain","Exports, Qty","Hong Kong","1,000 metric tons ","1989/90","MY Jun-May",102.380423
"Total wheat grain","Exports, Qty","Guadeloupe","1,000 metric tons ","1989/90","MY Jun-May",1.12
"Total wheat grain","Exports, Qty","Kuwait","1,000 metric tons ","1989/90","MY Jun-May",53.793841
