Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Jun",20.357889607692
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Jun",2259.32319507015
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Jun",2236.4951755902
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Jun",90808.4943426759
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Jun",31.3137414406404
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Jun",2.47012987225574
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Jun",91746.8088414168
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Mar",109430.180087541
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Mar",7.79771936052787
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Mar",49.8552909110147
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Mar",104914.136805935
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Mar",3682.2824985891
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Mar",3724.30010745484
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Mar",34.2198895052095
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Mar",4466.18799069459
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","May",3288.87824695153
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","May",22.2609394242446
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","May",2769.13620593131
