ticker,cik,form,filing_date,report_date,accession,items,primary_doc_description,primary_document,primary_path,filing_dir,status,error
GPRE,1309402,DEF 14A,2020-03-26,2020-05-06,0001193125-20-087108,,DEF 14A,d901057ddef14a.htm,domain_knowledge\company_reports\GPRE\000119312520087108_DEF 14A_2020-03-26\d901057ddef14a.htm,domain_knowledge\company_reports\GPRE\000119312520087108_DEF 14A_2020-03-26,ok,
GPRE,1309402,DEF 14A,2021-03-26,2021-05-05,0001193125-21-095446,,DEF 14A,d898309ddef14a.htm,domain_knowledge\company_reports\GPRE\000119312521095446_DEF 14A_2021-03-26\d898309ddef14a.htm,domain_knowledge\company_reports\GPRE\000119312521095446_DEF 14A_2021-03-26,ok,
GPRE,1309402,DEF 14A,2022-03-25,2022-05-04,0001206774-22-000867,,DEFINITIVE PROXY STATEMENT,gpre4008721-def14a.htm,domain_knowledge\company_reports\GPRE\000120677422000867_DEF 14A_2022-03-25\gpre4008721-def14a.htm,domain_knowledge\company_reports\GPRE\000120677422000867_DEF 14A_2022-03-25,ok,
GPRE,1309402,DEF 14A,2023-03-29,,0001309402-23-000060,,DEF 14A,gpre-20230329.htm,domain_knowledge\company_reports\GPRE\000130940223000060_DEF 14A_2023-03-29\gpre-20230329.htm,domain_knowledge\company_reports\GPRE\000130940223000060_DEF 14A_2023-03-29,ok,
GPRE,1309402,DEF 14A,2024-03-28,2024-05-07,0001309402-24-000084,,DEF 14A,gpre-20240328.htm,domain_knowledge\company_reports\GPRE\000130940224000084_DEF 14A_2024-03-28\gpre-20240328.htm,domain_knowledge\company_reports\GPRE\000130940224000084_DEF 14A_2024-03-28,ok,
GPRE,1309402,DEF 14A,2025-04-24,2025-06-06,0001309402-25-000074,,DEF 14A,gpre-20250424.htm,domain_knowledge\company_reports\GPRE\000130940225000074_DEF 14A_2025-04-24\gpre-20250424.htm,domain_knowledge\company_reports\GPRE\000130940225000074_DEF 14A_2025-04-24,ok,
GPRE,1309402,DEF 14A,2026-04-24,2026-06-05,0001309402-26-000050,,DEF 14A,gpre-20260424.htm,domain_knowledge\company_reports\GPRE\000130940226000050_DEF 14A_2026-04-24\gpre-20260424.htm,domain_knowledge\company_reports\GPRE\000130940226000050_DEF 14A_2026-04-24,ok,
